,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio,lat,long
555,31,Discovery Park,Tsuen Wan ,Flat D| Low Floor|  Block 09| Phase 3| Discovery Park| Tsuen Wan ,850,38000,3.0,2.0,21.0,80.0,22.3699122,114.1144306
556,31,Ocean Shores,Tseung Kwan O ,Flat H| Low Floor|  Block 09| Phase 2| Ocean Shores| Tseung Kwan O ,868,38000,2.0,1.0,17.0,73.0,22.3119357,114.2568776
557,31,Floral Villas,Sai Kung , House -| Floral Villas| Sai Kung ,4000,38000,,,25.0,79.0,22.383689,114.2707867
558,32,Casa Bella,Sai Kung , Block 9| Casa Bella| Sai Kung ,2200,38000,,,25.0,80.0,22.383689,114.2707867
559,32,Cheung King Mansion,Tsim Sha Tsui ,Flat B| Middle Floor|  Cheung King Mansion| Tsim Sha Tsui ,700,38000,,,40.0,76.0,22.2988123,114.1721746
560,32,Lung Poon Court,Wong Tai Sin ,Flat 5| Low Floor|  Block D| Lung Poon Court| Wong Tai Sin ,598,38000,1.0,2.0,32.0,74.0,37.7775324,-122.4637922
561,32,La Cite Noble,Tseung Kwan O ,Flat D| High Floor|  Block 5| La Cite Noble| Tseung Kwan O ,780,38000,2.0,2.0,20.0,72.0,22.3119357,114.2568776
562,32,Residence Oasis,Tseung Kwan O ,Flat G| High Floor|  Block 1| Residence Oasis| Tseung Kwan O ,920,38000,,,14.0,74.0,22.3119357,114.2568776
563,32,Pearl Court,Western/Sheung Wan Central ,Flat 4| Middle Floor|  Block A| Pearl Court| Western/Sheung Wan Central ,868,38000,2.0,,39.0,,37.0937489,-95.7127622
564,32,Wan Chai,Causeway Bay ,Flat M| Low Floor|  Tower 2| Phase 2| The Avenue| Admiralty| Wan Chai| Causeway Bay ,1550,38000,2.0,,4.0,,22.2859787,114.1914919
565,32,The Pacifica,Lai Chi Kok ,Flat E| Low Floor|  Block 3| Phase 1| The Pacifica| Lai Chi Kok ,980,38000,2.0,1.0,14.0,70.0,22.3377817,114.1359272
